CoinId,Deity,Denomination,Material,Mint,FrontDescription,Portrait,Region,BackDescription,Year
RIC V Gallienus (joint reign) 339,,Antoninianus,Silver,Mediolanum," Head or Bust of Gallienus, radiate, left, sometimes seen from behind, sometimes with spear and shield or sceptre | Bust of Gallienus, radiate, draped, right, sometimes holding sceptre",Gallienus,,"Stork, right",258
RIC V Gallienus (joint reign) 337,,Antoninianus,Silver,Mediolanum,"Bust of Gallienus, radiate, cuirassed, right",Gallienus,Italy,"Centaur, running left, holding club",258
RIC V Gallienus (joint reign) 336,,Antoninianus,Silver,Mediolanum," Bust of Gallienus, radiate, cuirassed, right",Gallienus,Italy,"Centaur, right, holding club",258
RIC V Gallienus (joint reign) 326,,Antoninianus,Silver,Mediolanum,"Head of Gallienus, radiate, left",Gallienus,Italy,"Pegasus, right",259
RIC V Gallienus (joint reign) 322,Minerva|Victory,Antoninianus,Silver,Mediolanum," Head of Gallienus, radiate, left | Bust of Gallienus, radiate, cuirassed, right | Bust of Gallienus, radiate, draped, right",Gallienus,Italy,"Minerva, helmeted, draped, standing left, holding Victory in right hand and spear and shield in left hand",258
RIC V Gallienus (joint reign) 306,,Antoninianus,Silver,Mediolanum,"Head of Gallienus, radiate, right or left",Gallienus,Italy,"Gallienus togate, sacrificing at altar out of patera in right hand and holding short sceptre in left hand",259
RIC V Gallienus (joint reign) 303,Sol,Aureus,Gold,Mediolanum,"Head of Gallienus, radiate, right",Gallienus,Italy,"Sol, radiate, standing left, raising right hand and holding globe in left hand",258
RIC V Gallienus (joint reign) 296,,Antoninianus,Silver,Viminacium,"Bust of Gallienus, radiate, draped, right",Gallienus,Moesia,"Gallienus, walking right, raising right hand and holding globe in left hand",255|256
RIC V Gallienus (joint reign) 293,Laetitia,Antoninianus,Silver,Viminacium,"Bust of Gallienus, radiate, draped, right",Gallienus,Moesia,"Laetitia, draped, standing left, holding wreath in right hand and anchor in left hand",254|255
RIC V Gallienus (joint reign) 289,Saturn,Antoninianus,Silver,Viminacium,"Bust of Gallienus, radiate, draped, right",Gallienus,Moesia,"Saturn, standing right, holding sceptre in right hand",255|256
RIC V Gallienus (joint reign) 288,Aequitas,Antoninianus,Silver,Viminacium,"Bust of Gallienus, radiate, draped, right",Gallienus,Moesia,"Aequitas, draped, standing left, holding scales in right hand and cornucopiae in left hand",253|254
RIC V Gallienus (joint reign) 280,Victory,As,Bronze,Rome,"Bust of Gallienus, laureate, cuirassed, right",Gallienus,Italy,"Victory, winged, draped, standing, resting right hand on shield and holding palm in left hand",256|257
RIC V Gallienus (joint reign) 270,Liberalitas,As,Bronze,Rome," Bust of Gallienus, laureate, cuirassed, right",Gallienus,Italy,"Liberalitas, draped, standing left, holding tessera in right hand and cornucopiae in left hand",253
RIC V Gallienus (joint reign) 267,Fides,As,Bronze,Rome,"Bust of Gallienus, laureate, cuirassed, right",Gallienus,Italy,"Fides, draped, standing left, holding ensign in each hand",258
RIC V Gallienus (joint reign) 251,Apollo,Dupondius,Bronze,Rome,"Bust of Gallienus, radiate, cuirassed, right",Gallienus,Italy,"Apollo, nude, standing left, holding laurel-branch in right hand and lyre set on rock in left hand",254|255
RIC V Gallienus 226,Laetitia,Antoninianus,Silver,Rome," Head of Gallienus, radiate, right | Bust of Gallienus, radiate, draped, cuirassed, right | Head of Gallienus, radiate, left | Bust of Gallienus, radiate, wearing imperial mantle, left, holding sceptre surmounted by eagle | Bust of Gallienus, helmeted, radiate, cuirassed, left, holding spear in right hand and shield in left hand | Bust of Gallienus, radiate, cuirassed, right",Gallienus,Italy,"Laetitia, draped, standing left, holding wreath in right hand and anchor in left hand",260|268
RIC V Gallienus (joint reign) 71,Concordia,Aureus,Gold,Rome,"Bust of Gallienus, laureate, draped, cuirassed, right",Gallienus,Italy,"Concordia, draped, standing left, holding patera in right hand and cornucopiae in left hand",254
RIC V Mariniana 11,,Dupondius,Bronze,Rome,"Bust of Mariniana, diademed, veiled, draped, right",Egnatia Mariniana,Italy,"Peacock, looking or walking right, with tail spread",256
RIC V Mariniana 10,,Sestertius,Bronze,Rome,"Bust of Mariniana, diademed, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Peacock, walking right, with tail spread",255
RIC V Mariniana 9,,Sestertius,Bronze,Rome,"Bust of Mariniana, diademed, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Peacock, looking right, with tail spread",256
RIC V Mariniana 8,,Quinarius,Silver,Rome,"Bust of Mariniana, diademed, veiled, draped, right",Egnatia Mariniana,Italy,"Mariniana, draped, seated on peacock flying left to heaven",253
RIC V Mariniana 7,Felicitas,Antoninianus,Silver,Rome,"Bust of Mariniana, diademed, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Felicitas, draped, standing left, holding caduceus in right hand and cornucopiae in left hand",254
RIC V Mariniana 6,,Antoninianus,Silver,Rome,"Bust of Mariniana, diademed, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Mariniana, draped, seated on peacock flying right or left to heaven",254
RIC V Mariniana 5,,Antoninianus,Silver,Rome,"Bust of Mariniana, diademed, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Peacock, walking right, with tail spread",255
RIC V Mariniana 4,,Antoninianus,Silver,Rome,"Bust of Mariniana, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Peacock, looking right, with tail spread",257
