LabNo,CollectionSquare,HouseholdUnits,Residential Zone,Period,Vesselsform,Group,Ba,Zr,Sr,Rb,Zn,Ni,Fe,Mn,Ti,Ca,K
DLH001,0009B,S017,S,Hongshan,Tongxingqi,G1,963.33,332.85,122.01,103.91,81.92,2791.08,44539.96,883.67,2470.17,4248.01,12681.86
DLH002,0009B,S017,S,Hongshan,Tongxingqi,G1,1064.73,396.21,170.47,109.94,69.33,626.93,41904.98,886.76,3771.89,6702.56,16342.42
DLH003,0072B,S022,S,Hongshan,Tongxingqi,G1,1118.44,336.02,142.11,108.4,72.42,173.32,43906.02,988.51,2113.85,5982.74,13875.15
DLH004,0082B,S010,S,Hongshan,Indeterminate,G3,852.43,83.53,91.5,16.88,104,315.48,7511.33,678.75,3871.22,5801.22,13939.55
DLH005,0077B,S022,S,Hongshan,Tongxingqi,G1,1082.87,333.95,162.12,99.25,67.15,2899.98,43111.45,951.54,1627.98,6294.67,9605.67
DLH006,0099B,S010,S,Hongshan,Pen,G3,1132.94,313.71,172.42,108.15,76.1,3194.48,41022.03,742.41,1452.19,5771.7,14538.39
DLH007,0099B,S010,S,Hongshan,Pen,G2,974.54,326.6,168.31,82.42,52.35,55.91,36481.19,619.86,745.13,5071.95,7379.54
DLH008,0020B,S016,S,Hongshan,Indeterminate,G2,811.64,368.04,125.36,107.54,88.27,456.1,52394.2,2335.55,3489.04,3747.32,14355.28
DLH009,0140A,S006,S,Hongshan,Guan,G3,1116.92,345.62,158.01,123.31,70.61,863,40196.64,794.2,3348.23,5326.54,22016.13
DLH010,0157B,S004,S,Hongshan,Indeterminate,G2,1176.8,358.72,168.31,82.23,61.16,2783.24,35323.36,808.92,2188.51,6056.58,10469.16
DLH011,0162B,S005,S,Hongshan,Tongxingqi,G1,931.87,178.26,125.03,41.84,85.88,152.6,19141.86,754.51,3085.52,6552.16,11495.83
DLH012,0215A,S002,S,Hongshan,Bo,G2,1081.08,344.12,156.29,91.32,65.25,3766.72,42074.23,798.9,1897.52,6188.15,11576.6
DLH013,1076B,D113,D,Hongshan,Tongxingqi,G1,1054.64,299.49,149.52,81.76,71,133.34,29558.83,707.06,3980.91,8638.41,8142.07
DLH014,1081B,D112,D,Hongshan,Tongxingqi,G1,967.9,343.86,171.95,80.62,57.8,2059.55,37412.72,626.02,3220.05,5540.72,12114.05
DLH015,1081B,D112,D,Hongshan,Bo,G2,823,357.67,161.5,106.41,73.47,1869.5,40768.53,702.81,2511.53,4674.42,12946.99
DLH016,1120B,D114,D,Hongshan,Indeterminate,G2,1100.58,133.91,109.44,32.64,86.08,135.66,14949.72,695.5,2695.33,7020.62,11043.26
DLH017,1141B,D108,D,Hongshan,Indeterminate,G3,1100.19,294.4,149.23,117.24,80.15,1100.2,36091.88,765.46,3024.13,3961.49,17321.37
DLH020,1145B,D108,D,Hongshan,Tongxingqi,G1,1141.87,295.09,169.71,68.82,78.18,739.98,33981.93,866.77,3308.82,6345.56,13372.36
DLH021,1137B,D109,D,Hongshan,Guan,G3,1317.39,250.16,183.95,76.55,57.54,1299.28,27000.01,447.01,2416.03,6753.65,13720.05
DLH022,1137B,D109,D,Hongshan,Guan,G3,1434.71,259.97,193.31,96.44,53.45,2152.74,29406,452.26,2146.76,7024.47,15546.06
DLH023,1137B,D109,D,Hongshan,Tongxingqi,G1,965.94,361.9,159.42,94.84,61.96,1063.33,36955.42,660.9,2196.68,5851.6,12012.97
DLH025,2018B,E203,E,Hongshan,Tongxingqi,G1,1248.04,332.4,182.4,78.98,67.44,868.45,38695.81,730.34,3759.48,6060.61,13983.16
DLH026,2022B,E203,E,Hongshan,Tongxingqi,G1,798.94,338.1,160.7,54.69,66.8,1767.45,38774.79,600.13,3261.37,7158.53,10302.7
DLH027,1008B,D101,D,Hongshan,Weng,G2,916.16,306.03,130.77,105.09,76.07,331.77,47354.09,581.75,2521.82,5966.27,10774.99
DLH028,1071A,D112,D,Hongshan,Guan,G2,1137.01,335.79,151.48,80.93,54.26,1294.14,45400.2,707.73,3861.5,5278.02,13368.74
DLH029,1082B,D112,D,Hongshan,Indeterminate,G2,947.59,369.18,176.46,94.3,63.7,140.42,43129.02,733.85,3221.48,4864.7,12514.98
DLH030,1083B,D112,D,Hongshan,Indeterminate,G2,751.53,421.4,173.24,108.17,91.83,165.12,53378.63,837.87,2319.06,2973.64,9644.68
DLH031,1083B,D112,D,Hongshan,Indeterminate,G2,1244.52,333.7,132.13,104.18,72.56,339.09,47267.67,728.92,3764.86,3803.67,14955.5
DLH032,1081B,D112,D,Hongshan,Indeterminate,G2,888.07,368.79,181.78,101.68,68.67,107.66,44202.75,790.69,2132.87,3660.5,9095.16
DLH033,1082B,D112,D,Hongshan,Indeterminate,G2,853.24,350.11,179.38,73.16,50.09,129.11,41380.62,595.48,2718.32,5053.61,10591.13
DLH034,1083B,D112,D,Hongshan,Bo,G2,668.59,427.48,169.52,100.63,93.24,97.79,52870.58,852.28,2893.3,3632.36,10105.41
DLH035,1083B,D112,D,Hongshan,Bo,G2,1123.14,316.74,180.97,83.33,57.68,162.75,62732.34,618.85,2663.76,4974.51,9575.56
DLH036,1081A,D112,D,Hongshan,Indeterminate,G2,900.48,331.56,165.32,63.1,51.57,99.24,38795.32,639.62,2570.35,5130.24,10521.25
DLH037,1075B,D112,D,Hongshan,Guan,G3,1127.86,379.41,221.66,119.79,60.21,240.8,36679.41,965.78,2024.34,5383.29,14712.99
DLH038,1083B,D112,D,Hongshan,Guan,G3,1376.56,313.2,169.56,87.22,54.38,156.8,32625.33,408.06,2021.88,4822.12,14379.8
DLH039,1083A,D112,D,Hongshan,Guan,G3,1087.88,339.9,179.92,78.06,72.49,312.35,47927.21,1207.87,3735.9,7374.37,12046.77
DLH040,1084B,D112,D,Hongshan,Indeterminate,G3,1427.87,318.88,252.14,79.16,59.18,535.04,45118.09,955.66,4534.92,5597.11,15338.25
DLH041,1083A,D112,D,Hongshan,Indeterminate,G3,1316.01,342.14,175.59,92.94,72.74,344.52,46201.46,1095.92,4094.51,7290.89,17495.42
DLH042,1071B,D112,D,Hongshan,Indeterminate,G3,1326.63,320.3,195.28,83.34,45.31,148.26,37485.82,925.8,2594.78,5388.25,14587.25
DLH043,1074B,D112,D,Hongshan,Indeterminate,G3,1344.93,355.34,187.98,106.85,71.18,132.69,44386.67,1199.12,2344.94,5019.68,12760.69
DLH044,1070B,D112,D,Hongshan,Indeterminate,G3,1098.01,213.21,120.41,53.61,85.56,812.49,103149.52,2583.03,2894.2,8495.12,10563
DLH045,1074B,D112,D,Hongshan,Guan,G3,1124.53,351.59,192.22,87.3,73.47,287.31,50299.8,1002.38,3547.23,4502.16,13746.99
DLH046,1081A,D112,D,Hongshan,Tongxingqi,G1,1036.22,355.18,188.24,111.14,65.52,125.03,41050.89,805.34,2646.73,6461.53,14972.51
DLH047,1071A,D112,D,Hongshan,Tongxingqi,G1,1037.43,378.32,156.23,86.91,65.67,137.36,40787.52,996.79,3018.83,6441.8,9988.53
DLH048,1070A,D112,D,Hongshan,Tongxingqi,G1,937.06,384.86,144.28,89.84,63.07,116.65,39427.3,887.09,3776.81,6580.92,14955.52
DLH049,1070B,D112,D,Hongshan,Tongxingqi,G1,1011.23,389.15,170.77,79.97,65.26,264.53,41866.93,682.15,2280.71,6570.59,12165.59
DLH050,1074B,D112,D,Hongshan,Tongxingqi,G1,893.19,381.38,172.08,79.96,59.89,96.27,43054.43,770.79,3926.37,6110.11,13768.22
DLH051,1081A,D112,D,Hongshan,Tongxingqi,G1,967,363.8,180.39,77.14,55.51,79.36,45111.77,549.53,4062.68,5452.36,13684.7
DLH052,1075A,D112,D,Hongshan,Tongxingqi,G1,993.16,381.75,172.07,80.3,55.89,194.84,41399.05,820.34,3339.64,4571.25,12407.01
DLH053,1081B,D112,D,Hongshan,Indeterminate,G2,888.07,368.79,181.78,101.68,68.67,107.66,44202.75,790.69,2132.87,3660.5,9095.16
DLH054,1071B,D112,D,Hongshan,Indeterminate,G3,1326.63,320.3,195.28,83.34,45.31,148.26,37485.82,925.8,2594.78,5388.25,14587.25
DLH055,0106B,S010,S,Hongshan,Tongxingqi,G1,988.62,382.99,169.24,73.33,73.23,90.66,44096.72,888.08,4099.57,5826.13,13899.7
DLH056,0105B,S010,S,Hongshan,Tongxingqi,G1,1081.62,340.27,151.94,96.52,65.08,171.85,43293.67,842.71,3190.62,5654.33,15248.59
DLH057,0099A,S010,S,Hongshan,Tongxingqi,G1,786.57,365.89,151.87,55.4,63.23,131.39,44335.07,1137.05,4497,4620.09,12256.63
DLH058,0100A,S010,S,Hongshan,Tongxingqi,G1,962.49,367.72,161.28,76.39,64.36,147.19,43281.13,922.04,3781.71,5167.95,13452.98
DLH059,0100A,S010,S,Hongshan,Tongxingqi,G1,975.78,347.34,149.09,94.84,67.33,109.55,39068.83,1429.91,2617.27,5314.75,12991.96
DLH060,0100A,S010,S,Hongshan,Tongxingqi,G1,1044.22,352.1,146.2,90.49,59.87,111.11,48159.54,891.21,2809.05,5248.44,12498.87
DLH061,0100B,S010,S,Hongshan,Tongxingqi,G1,1128.52,355.59,146.89,94.41,64.14,142.18,53402.28,955.42,2436.48,5214.63,11606.31
DLH062,0082A,S010,S,Hongshan,Tongxingqi,G1,983.77,355.23,148.51,83.78,63.64,123.56,46241.43,1103.4,3089.95,5099.48,12338.44
DLH063,0082A,S010,S,Hongshan,Tongxingqi,G1,938.97,366.45,169.24,73.61,50.45,132.34,41025.63,544.26,4179.29,6078.35,14339.31
DLH064,0103A,S010,S,Hongshan,Indeterminate,G3,659.83,365.13,154.31,101.63,68.16,79.12,46016.39,543.24,4616.42,3417.74,17910.14
DLH065,0038B,S010,S,Hongshan,Indeterminate,G3,927.77,360.6,154.74,88.36,61.6,119.3,46671.43,786.58,3580.53,4952.55,14048.55
DLH066,0107B,S010,S,Hongshan,Indeterminate,G3,1024.26,326.93,153.66,102.59,65.27,134.47,38696.6,543.9,3106.14,5668.7,13714.94
DLH067,0102A,S010,S,Hongshan,Guan,G3,907.91,375.39,122.38,91.43,64.54,116.52,49970.71,896.09,2866.39,4699.2,10148.44
DLH068,0083A,S010,S,Hongshan,Indeterminate,G3,1010.6,350.7,134.28,83.26,76.59,145.47,50724.6,861.93,3318.52,4476.5,13187.51
DLH069,0105A,S010,S,Hongshan,Indeterminate,G3,1206.04,306.6,221.6,77.35,57.46,163.07,54326.57,817.81,3563.2,5168.63,12183.93
DLH070,0082B,S010,S,Hongshan,Guan,G3,1208.92,358.37,136.77,92.32,79.04,184.15,40063.81,932.67,2354.6,5010.57,13078.61
DLH071,0038B,S010,S,Hongshan,Indeterminate,G3,1083.37,347.77,153.76,86.09,69.41,152.3,48771.42,877.13,3025.68,4838.72,12149.62
DLH072,0099B,S010,S,Hongshan,Pen,G3,1100.22,300.21,156.82,98.92,64.13,126.16,36894.61,683.08,3301.41,3865.27,19222.6
DLH073,0105B,S010,S,Hongshan,Indeterminate,G2,868.03,362.37,167,57.91,41.9,104.54,41718.13,628.69,4226.9,5116.5,12449.13
DLH074,0108B,S010,S,Hongshan,Indeterminate,G2,1105.13,389.31,157.98,81.53,59.84,141.49,42039.08,908.36,4130.08,5648.11,14882.75
DLH075,0105B,S010,S,Hongshan,Indeterminate,G2,1058.96,384.9,172.15,97.34,59.63,95.68,43832.93,877.98,3228.98,4872.69,14064.8
DLH076,0108A,S010,S,Hongshan,Guan,G2,1170.68,361.58,176.8,77.33,76.7,100.6,45409.32,972.91,3269.43,4946.74,12869.62
DLH077,0100A,S010,S,Hongshan,Indeterminate,G2,994.81,362.17,145.93,93.93,72.2,127.98,42956.76,929.64,3623.26,5054.35,14911.22
DLH078,0101A,S010,S,Hongshan,Indeterminate,G2,918.95,348.07,115.87,91.09,75.69,134.6,49473.08,712.96,3690.53,3872.86,13119.47
DLH079,0083B,S010,S,Hongshan,Indeterminate,G2,861.25,236.07,117.75,37.9,77.77,194.11,25948.5,615.42,2703.83,6339.33,11117.43
DLH080,0099B,S010,S,Hongshan,Pen,G2,974.54,326.6,168.31,82.42,52.35,55.91,36481.19,619.86,745.13,5071.95,7379.54
DLH081,0009B,S017,S,Hongshan,Tongxingqi,G1,1064.73,396.21,170.47,109.94,69.33,626.93,41904.98,886.76,3771.89,6702.56,16342.42
DLH082,0082B,S010,S,Hongshan,Indeterminate,G2,1016.8,388.5,154.83,107.8,81.69,103.14,46634.61,977.08,2790.78,4279.92,12146.97
DLH083,0083A,S010,S,Hongshan,Bo,G2,1100.02,151.98,101.38,37.9,91.02,77.82,17849.74,807.13,1956.91,5953.97,10566.91
DLH084,0101A,S010,S,Hongshan,Bo,G2,980.45,304.14,126.36,65.66,74.21,120.16,32238.68,726.04,2696.09,5859.98,12727.21
DLH085,0102B,S010,S,Hongshan,Guan,G2,1011.57,212.76,111.69,42.88,71.23,119.39,25848.72,867.88,3862.26,5997.11,11399.38
DLH086,0105B,S010,S,Hongshan,Bo,G2,663.89,147.57,77.2,29.08,100.59,95.36,17893.23,680.53,3914.53,3822.85,10275.45
DLH087,0083B,S010,S,Hongshan,Guan,G2,1249.19,122.2,88.91,23.09,84.17,95.35,12653.63,843.95,3098.73,5510.42,11111.82
DLH088,0082A,S010,S,Hongshan,Indeterminate,G2,947.95,333.7,133.6,82.68,76.84,139.96,41253.24,808.78,3202.1,4886.62,12823.77
DLH089,0101B,S010,S,Hongshan,Indeterminate,G2,987.25,342.91,189.78,91.88,64.2,102.24,43483.02,681.38,3234.44,5741.16,14561.5
DLH090,0101B,S010,S,Hongshan,Indeterminate,G2,951.38,349.78,160.55,76.11,60.83,138.76,42714.67,858.09,2476.63,6106.94,10626.83
DLH091,0103B,S010,S,Hongshan,Indeterminate,G2,1042.72,342.87,134.14,96.64,79.24,157.01,41337.05,799.66,2828.76,5733.24,11736.34
DLH092,0100B,S010,S,Hongshan,Indeterminate,G2,1207.65,314.59,213.89,76.37,62.43,156.05,47505.81,991.91,3087.55,5573.4,11945.75
DLH093,0100B,S010,S,Hongshan,Indeterminate,G2,1051.37,311.73,134.26,70.67,71.16,199.32,40311.84,808.01,3309.25,4728.7,13375.55
DLH094,0099B,S010,S,Hongshan,Bo,G2,1204.89,355.96,161.29,98.03,69.88,594.9,44002.62,1104.26,3950.08,4443.69,15343.45
DLH095,0108B,S010,S,Hongshan,Indeterminate,G2,969.71,359.02,149.66,103.19,70.85,118.3,43616.13,830.63,3593.81,4700.86,13986.34
DLH096,0108A,S010,S,Hongshan,Indeterminate,G2,505.6,352.88,140.73,91.66,66.13,55.35,46912.39,728.24,2755.98,5874.11,12811.43
DLH097,0103A,S010,S,Hongshan,Indeterminate,G2,893.4,355.95,150.56,97.63,68.95,256.18,44843.71,887.71,3433.29,5006.22,14047.07
DLH098,0106A,S010,S,Hongshan,Indeterminate,G2,1022.67,356.98,153.84,99.62,69.89,323.13,44154.15,940.87,3659.06,4716.92,14458.95
DLH099,0083B,S010,S,Hongshan,Indeterminate,G2,1044.6,299.8,141.57,71.7,76.89,181.27,37660.76,734.21,3112.09,5559.44,13998.12
DLH100,0105B,S010,S,Hongshan,Indeterminate,G2,688.27,335.78,134.27,99.05,72.93,71.44,47853.71,816.98,4588.84,3017.66,17077.38
DLH101,0105B,S010,S,Hongshan,Indeterminate,G2,935.03,382.06,153.91,84.43,76.48,105.83,48340.5,785.19,4383.66,5051.46,13004.26
DLH102,0105B,S010,S,Hongshan,Indeterminate,G2,934.1,354.07,259.76,96.52,54.98,98.3,30871.8,752.9,3014.57,8695.98,16200.73
DLH103,1084A,D103,D,Hongshan,Indeterminate,G2,986.67,341.74,170.65,76.62,64.41,189.3,38330.76,595.81,2420.45,5919.19,10859.12
DLH104,1084A,D103,D,Hongshan,Indeterminate,G2,1013.47,332.26,169.09,76.92,61.66,148.53,36967.54,606.15,3613.48,6373.12,14485.35
DLH105,1082B,D103,D,Hongshan,Indeterminate,G2,985.34,331.48,155.89,84.03,71.99,522.44,38104.12,707.23,2176.46,5494.5,11742.84
DLH106,1082B,D103,D,Hongshan,Indeterminate,G2,925.22,334.45,173.94,81.62,59.95,89.7,39320.33,704.26,3541.42,6201.8,14204.04
DLH107,1081B,D103,D,Hongshan,Indeterminate,G2,1082.4,358.41,173.7,77.72,51.05,150,39128.17,544.59,2382.89,4732.08,10357.45
DLH108,1081B,D103,D,Hongshan,Indeterminate,G2,993.22,282.8,156.71,65.38,71.29,138.94,33123.04,675.88,2665.8,6912.51,10453.75
DLH109,1081B,D103,D,Hongshan,Guan,G2,996.54,326.78,165.06,77.19,63.57,225.27,37418.92,657.99,2691.64,5835.22,11689.52
DLH110,1081B,D103,D,Hongshan,Indeterminate,G2,820.68,362.95,175.55,85.36,60.42,137.12,41636.22,647.21,3116.62,6235.35,13162.86
DLH111,1082A,D103,D,Hongshan,Guan,G2,1253.5,301.24,154.55,67.94,57.63,176.75,36933.91,649.9,2636.45,6482.19,10820.34
DLH112,1084B,D103,D,Hongshan,Indeterminate,G2,981.64,375.05,165.49,99.91,65.55,102.94,41893.67,712.67,3085.62,4658.28,13183.33
DLH113,1080B,D103,D,Hongshan,Indeterminate,G2,969.41,362.46,177.29,93.22,58.87,161.22,41199.27,748.28,3507.68,5552.18,14035.73
DLH114,1080A,D103,D,Hongshan,Indeterminate,G2,1073.15,330.16,165.63,79.45,60.02,187.75,38517.37,685.39,2945.26,5956.53,12181.86
DLH115,1080A,D103,D,Hongshan,Indeterminate,G2,1052.41,353.15,180.99,88.16,65.42,99.08,42771.16,640.65,3906.56,6569.53,13474.3
DLH116,1074A,D103,D,Hongshan,Indeterminate,G2,1023.44,376.07,155.31,90.12,77.61,120.93,43735.77,1064.52,4313.25,4561.8,15539.76
DLH117,1081B,D103,D,Hongshan,Indeterminate,G2,820.68,362.95,175.55,85.36,60.42,137.12,41636.22,647.21,3116.62,6235.35,13162.86
DLH118,1035A,D103,D,Hongshan,Tongxingqi,G1,1037.17,291.95,154.63,63.16,85.73,228.36,40318.93,784.17,2864.55,7364.94,12656.07
DLH119,1036B,D103,D,Hongshan,Tongxingqi,G1,986.62,365.64,172.81,85.22,69.81,131.45,43603.54,1023.55,1885,6808.27,11007.58
DLH120,1036A,D103,D,Hongshan,Tongxingqi,G1,1024.91,346.7,165.94,81.67,74.64,144.96,42607.35,878.22,3242.34,6326.14,13169.43
DLH121,1033B,D103,D,Hongshan,Tongxingqi,G1,1130.34,321.96,187.68,96.17,73.81,135.05,42129.26,929.03,2578.98,7088.17,15480.23
