date,avgLandTemp
1/1/80,2.956
2/1/80,3.652
3/1/80,5.367
4/1/80,8.935
5/1/80,11.77
6/1/80,13.582
7/1/80,14.742
8/1/80,14.189
9/1/80,12.321
10/1/80,9.55
11/1/80,6.684
12/1/80,4.016
1/1/81,3.785
2/1/81,4.021
3/1/81,6.239
4/1/81,8.953
5/1/81,11.565
6/1/81,13.765
7/1/81,14.738
8/1/81,14.502
9/1/81,12.236
10/1/81,9.394
11/1/81,6.273
12/1/81,4.519
1/1/82,2.558
2/1/82,3.281
3/1/82,4.873
4/1/82,8.465
5/1/82,11.348
6/1/82,13.245
7/1/82,14.545
8/1/82,13.796
9/1/82,12.039
10/1/82,9.232
11/1/82,5.961
12/1/82,4.327
1/1/83,3.445
2/1/83,3.814
3/1/83,5.699
4/1/83,8.693
5/1/83,11.729
6/1/83,13.478
7/1/83,14.408
8/1/83,14.302
9/1/83,12.698
10/1/83,9.478
11/1/83,6.765
12/1/83,3.829
1/1/84,2.941
2/1/84,3.093
3/1/84,5.671
4/1/84,8.432
5/1/84,11.976
6/1/84,13.387
7/1/84,14.429
8/1/84,13.984
9/1/84,12.015
10/1/84,9.378
11/1/84,5.811
12/1/84,3.185
1/1/85,3.01
2/1/85,2.704
3/1/85,5.451
4/1/85,8.633
5/1/85,11.426
6/1/85,13.569
7/1/85,13.973
8/1/85,14.059
9/1/85,11.98
10/1/85,9.338
11/1/85,5.968
12/1/85,3.785
1/1/86,3.315
2/1/86,3.991
3/1/86,5.755
4/1/86,8.871
5/1/86,11.581
6/1/86,13.439
7/1/86,14.293
8/1/86,13.972
9/1/86,11.817
10/1/86,9.299
11/1/86,5.919
12/1/86,3.751
1/1/87,3.139
2/1/87,4.134
3/1/87,5.245
4/1/87,8.595
5/1/87,11.525
6/1/87,13.927
7/1/87,14.89
8/1/87,13.896
9/1/87,12.447
10/1/87,9.59
11/1/87,6.056
12/1/87,4.489
1/1/88,3.454
2/1/88,3.422
3/1/88,5.931
4/1/88,8.992
5/1/88,11.852
6/1/88,14.099
7/1/88,14.798
8/1/88,14.553
9/1/88,12.681
10/1/88,9.979
